Datum,   Brot,Fleisch,    Fisch,    Molkerei-Eier,    Speisefette-öle,    Obst,    Gemüse,"    Zucker, Marmelade, Honig",    Fertigerichte,  Kaffee-Tee,    Wasser-Saft
2020-03-01,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-02,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-03,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-04,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-05,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-06,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-07,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-08,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-09,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-10,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-11,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-12,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-13,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-14,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-15,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-16,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-17,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-18,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-19,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-20,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-21,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-22,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-23,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-24,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-25,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-26,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-27,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-28,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-29,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-30,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-03-31,100.5,100.3,100.8,99.9,101.3,100.6,103.9,100.8,100.8,101.0,101.3
2020-04-01,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-02,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-03,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-04,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-05,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-06,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-07,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-08,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-09,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-10,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-11,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-12,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-13,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-14,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-15,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-16,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-17,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-18,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-19,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
